ITEM #,PRODUCT,SIZE,UPC, W/S PRICE 
1549,Ancient Minerals Magnesium Oil 8oz,,853956003287, $18.99 
1572,Ancient Minerals Magnesium Gel,8oz,853956003409, $20.99 
1589,Ancient Minerals Magnesium Bath Flakes,750 g,853956003041, $9.49 
1732,Ancient Minerals Magnesium Lotion,150ml,853956003812, $19.99 
1920,Ancient Minerals Magnesium Lotion Ultra,150ml,853956003775, $19.99 
1793,Ancient Minerals Magnesium Oil Ultra with MSM,8oz,853956003256, $19.99 
1853,Ancient Minerals Magnesium Goodnight Lotion ,2.5oz,853956003522, $24.99 
1896,Cellular AntiWave Protection ,1 unit,627843410836, $21.99 
1897,Computer AntiWave Protection ,1 unit,627843410867, $24.99 
1904,Cal-Mag Liquid Cherry (min of 6 units ordered mix and match),450ml,628341621007, $15.40 
1905,Cal-Mag Liquid Orange (min of 6 units ordered mix and match),450ml,628341621038, $15.40 
1917,Cal-Mag Capsules NPN:80092215,120vcap,628341621014, $20.50 
1918,Omega3 Fish Oil NPN:80091394,60 gelcaps,628341621021, $22.00 
1923,Apple Slim NPN: 80091618,90 vcaps,628341621052, $27.50 
1924,Boswellia NPN: 80092675,60 vcaps,628341621069, $22.00 
1930,Marine-Source Magnesium NPN:80096994,60 vaps,623841621076, $12.10 
1931,Marine-Source Magnesium NPN:80096994,180 caps,628341621090, $27.50 
1921,No Nonsense Health Dr. Gifford-Jones,Book,9781999202606, $6.99 
1872,ImmunoCare NPN: 80056180,30 veg caps,850424000045, $24.99 
1873,ImmunoCare NPN: 80056180,60 veg caps,850424000052, $43.99 
1874,ImmunoCare Book:Immunity Thrive in a Toxic World,170 pages,, $5.99 
1879,ImmunoPET ,30 veg caps,350424000057, $24.99 
1631,NEO 40 NPN: 80042223,30 tabs,813188020230, $35.99 
1806,The Nitric Oxide Solution Book,,, $9.95 
1595,Iron Earth Soil Re-Mineralizer,2.5 L,401234567893, $19.99 
1934,Organic Oil of Wild Oregano Extra Strength,30ml,853332001050, $16.50 
1906,MyShrooms Energy NPN: 80064131,50ml,627843257059, $24.99 
1907,MyShroom Immunity NPN: 80076923,50ml,627843257066, $24.99 
1908,MyShroom Defense Chaga w D3 NPN: 80088579,50ml,627843257042, $24.99 
1938,MyShroom Immune-Pro NPN:80053282,60 caps,627843257080, $24.99 
1909,MyPain Linimint NPN: 80067721,50ml,627843257110, $24.99 
1474,MediStik Analgesic Stick NPN: 80021278,58 gm,812459001312, $12.99 
1588,Medistik Analgesic Spray bottle NPN:80031076,118ml,812459000247, $12.99 
1607,Medistik Roll on NPN:80042674,89 ml,812459001046, $12.99 
1935,Healing Earth Humic Acid Plus MSM NPN:80096961,90 caps,628341621908,19.25
1936,Healing Earth Humic Acid Plus MSM NPN:80096961,180 caps,628341621915,32.95
1527,Ionic Silver Solution 10PPM (Spray Top),120ml,705105870946, $8.99 
1528,Ionic Silver Solution 10PPM NPN:80048689,250 ml,705105871042, $13.99 
1529,Ionic Silver Solution 10PPM,500 ml,705105871141, $21.99 
1546,Ionic Silver Solution Gel,100 ml,736211594112, $16.99 
1631,NEO 40 Daily NPN: 80042223,30 lozenges,, $35.99 
1636,Bone MD (three month supply) NPN: 80034703,90 caps,811400005201, $28.50 
1081,Oreganol P73 Oil NPN: 80040109,30 ml,, $41.99 
1028,Oreganol P73 Softgels NPN: 80040110,60 softgels,, $21.98 
1029,OregaMax NPN: 80042883,90 veg caps,, $21.98 
1056,Oreganol P73 Oil NPN: 80040109,8 ml,, $16.99 
1026,Oreganol P73 Oil NPN: 80040109,13.5 ml,, $21.98 
1081,Oreganol P73 Oil NPN: 80040109,30 ml,, $41.99 
1087,Oreganol P73 Skin cream,60 ml,, $22.30 
1459,Oreganol P73 Oil(Super Strength)NPN: 80040059,13.5 ml,, $29.99 
1027,Oreganol P73 Oil(Super Strength)NPN: 80040059,30 ml,, $49.99 
1150,Oreganol P73 Sftgls(Super Strength)NPN: 80040070,60 softgels,, $29.99 
1582,Chaga Black Tea,3.2 oz,, $39.99 
1583,Chaga White Tea,3.2 oz,, $39.99 
1560,Chag-o-Charge,90 grams,, $37.99 
1113,Herbal Bug-X Spray,118 ml,, $22.99 
1520,Polar Power NPN: 80047916,60 caps,, $34.99 
OPTION BIOTECH,,,,
1009,BioVigora NPN: 80025838,60 caps,, $23.95 
1041,Elexium NPN: 80026348,90 caps,, $29.95 
1136,Hair 4 Life NPN:80026346,120 caps,, $23.95 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
NORTH AMERICAN HERB & SPICE,,,,
ITEM #,PRODUCT ,SIZE,UPC, W/S PRICE 
